_id,date,center_name,attendance_count
41182252,2025-04-09,Arlington Community Center,92
41182253,2025-04-09,Brookline Community Center,28
41182254,2025-04-09,Ormsby Community Center,11
41182255,2025-04-09,Paulson Community Center,26
41182256,2025-04-09,Jefferson Community Center,67
41182257,2025-04-09,Magee Community Center,35
41182258,2025-04-09,West Penn Community Center,24
41182259,2025-04-09,Warrington Community Center,66
41182260,2025-04-08,Arlington Community Center,26
41182261,2025-04-08,Brookline Community Center,47
41182262,2025-04-08,Paulson Community Center,28
41182263,2025-04-08,Ormsby Community Center,16
41182264,2025-04-08,Magee Community Center,21
41182265,2025-04-08,Jefferson Community Center,35
41182266,2025-04-08,West Penn Community Center,39
41182267,2025-04-08,Warrington Community Center,75
41182268,2025-04-07,Arlington Community Center,2
41182269,2025-04-07,Brookline Community Center,37
41182270,2025-04-07,Ormsby Community Center,28
41182271,2025-04-07,Paulson Community Center,30
41182272,2025-04-07,Jefferson Community Center,82
41182273,2025-04-07,Magee Community Center,43
41182274,2025-04-07,West Penn Community Center,42
41182275,2025-04-07,Warrington Community Center,66
41182276,2025-04-05,Brookline Community Center,8
41182277,2025-04-05,Paulson Community Center,3
41182278,2025-04-05,Ormsby Community Center,10
41182279,2025-04-05,Magee Community Center,8
41182280,2025-04-05,Jefferson Community Center,41
41182281,2025-04-05,West Penn Community Center,27
41182282,2025-04-05,Warrington Community Center,10
41182283,2025-04-04,Arlington Community Center,21
41182284,2025-04-04,Brookline Community Center,21
41182285,2025-04-04,Ormsby Community Center,11
41182286,2025-04-04,Paulson Community Center,14
41182287,2025-04-04,Jefferson Community Center,39
41182288,2025-04-04,Magee Community Center,32
41182289,2025-04-04,West Penn Community Center,34
41182290,2025-04-04,Warrington Community Center,36
41182291,2025-04-03,Arlington Community Center,16
41182292,2025-04-03,Brookline Community Center,42
41182293,2025-04-03,Paulson Community Center,19
41182294,2025-04-03,Ormsby Community Center,11
41182295,2025-04-03,Magee Community Center,44
41182296,2025-04-03,Jefferson Community Center,72
41182297,2025-04-03,West Penn Community Center,27
41182298,2025-04-03,Warrington Community Center,54
41182299,2025-04-02,Arlington Community Center,78
41182300,2025-04-02,Brookline Community Center,32
41182301,2025-04-02,Ormsby Community Center,18
41182302,2025-04-02,Paulson Community Center,19
41182303,2025-04-02,Jefferson Community Center,64
